number,name,symbol,name_symbol,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,ionization_energies,covalent_radius,van_der_waals_radius
92,Uranium,U,"uranium, U",silvery gray metallic; corrodes to a spalling black oxide coat in air,92,"group n/a, f-block",7,actinide,238.028913,[Rn] 5f3 6d1 7s2,2,,solid,1405.3,,4404,,17.3,,,,"1st: 597.6 kJ/mol, 2nd: 1420 kJ/mol",196±7 pm,186
93,Neptunium,Np,"neptunium, Np",silvery metallic,93,"group n/a, f-block",7,actinide,237,[Rn] 5f4 6d1 7s2,2,,solid,"912±3 K (639±3 °C, 1182±5 °F)",,4447,,,,,,1st: 604.5 kJ/mol,190±1 pm,
94,Plutonium,Pu,"plutonium, Pu","silvery white, tarnishing to dark gray in air",94,"group n/a, f-block",7,actinide,244,[Rn] 5f6 7s2,2,,solid,912.5,,3505,,16.63,,,,1st: 584.7 kJ/mol,187±1 pm,
95,Americium,Am,"americium, Am",silvery white,95,"group n/a, f-block",7,actinide,243,[Rn] 5f7 7s2,2,,solid,1449,,2880,,,,,,1st: 578 kJ/mol,180±6 pm,
96,Curium,Cm,"curium, Cm","silvery metallic, glows purple in the dark",96,"group n/a, f-block",7,actinide,247,[Rn] 5f7 6d1 7s2,2,,solid,1613,,3383,,,,,,1st: 581 kJ/mol,169±3 pm,
97,Berkelium,Bk,"berkelium, Bk",silvery,97,"group n/a, f-block",7,actinide,247,[Rn] 5f9 7s2,2,,solid,"beta: 1259 K (986 °C, 1807 °F)",,"beta: 2900 K (2627 °C, 4760 °F)",,,,,,1st: 601 kJ/mol,,
98,Californium,Cf,"californium, Cf",silvery,98,"group n/a, f-block",7,actinide,251,[Rn] 5f10 7s2,2,,solid,1173,,1743,,,,,,1st: 608 kJ/mol,,
99,Einsteinium,Es,"einsteinium, Es",silvery; glows blue in the dark,99,"group n/a, f-block",7,actinide,252,[Rn] 5f11 7s2,2,,solid,1133,,1269,,,,,,1st: 619 kJ/mol,,
100,Fermium,Fm,"fermium, Fm",,100,"group n/a, f-block",7,actinide,257,[Rn] 5f12 7s2,2,,solid (predicted),1800,,,,,,,,1st: 627 kJ/mol  (estimated),,
101,Mendelevium,Md,"mendelevium, Md",,101,"group n/a, f-block",7,actinide,258,[Rn] 5f13 7s2,2,,solid (predicted),1100,,,,,,,,1st: 635 kJ/mol  (estimated),,
102,Nobelium,No,"nobelium, No",,102,"group n/a, f-block",7,actinide,259,[Rn] 5f14 7s2,2,,solid (predicted),1100,,,,,,,,"1st: 641.6 kJ/mol, 2nd: 1254.3 kJ/mol, 3rd: 2605.1 kJ/mol  (all estimated)",,
103,Lawrencium,Lr,"lawrencium, Lr",silvery (predicted),103,"group n/a, d-block",7,"actinide, sometimes considered a transition metal",266,[Rn] 5f14 7s2 7p1,2,,solid (predicted),1900,,,,,,,,"1st: 478.6 kJ/mol, 2nd: 1428.0 kJ/mol (predicted), 3rd: 2219.1 kJ/mol (predicted)",,
105,Dubnium,Db,"dubnium, Db",,105,"group 5, d-block",7,transition metal,268,[Rn] 5f14 6d3 7s2 ,2,,solid (predicted),,,,,,,,,"1st: 656.1 kJ/mol, 2nd: 1546.7 kJ/mol, 3rd: 2378.4 kJ/mol, (more) (all but first estimated)",149,
106,Seaborgium,Sg,"seaborgium, Sg",,106,"group 6, d-block",7,transition metal,269,[Rn] 5f14 6d4 7s2 ,2,,solid (predicted),,,,,,,,,"1st: 752.6 kJ/mol, 2nd: 1732.9 kJ/mol, 3rd: 2483.5 kJ/mol, (more) (all but first estimated)",143,
107,Bohrium,Bh,"bohrium, Bh",,107,"group 7, d-block",7,transition metal,270,[Rn] 5f14 6d5 7s2 ,2,,solid (predicted),,,,,,,,,"1st: 742.9 kJ/mol, 2nd: 1688.5 kJ/mol, 3rd: 2566.5 kJ/mol, (more) (all but first estimated)",141,
108,Hassium,Hs,"hassium, Hs",silvery (predicted),108,"group 8, d-block",7,transition metal,269,[Rn] 5f14 6d6 7s2 ,2,,solid (predicted),,,,,,,,,"1st: 733.3 kJ/mol, 2nd: 1756.0 kJ/mol, 3rd: 2827.0 kJ/mol, (more) (all but first estimated)",134,
109,Meitnerium,Mt,"meitnerium, Mt",,109,"group 9, d-block",7,"unknown, but probably a transition metal",278,[Rn] 5f14 6d7 7s2 (calculated),2,,solid (predicted),,,,,,,,,"1st: 800.8 kJ/mol, 2nd: 1823.6 kJ/mol, 3rd: 2904.2 kJ/mol, (more) (all estimated)",129,
110,Darmstadtium,Ds,"darmstadtium, Ds",,110,"group 10, d-block",7,"unknown, but probably a transition metal",281,"[Rn] 5f14 6d8 7s2, (predicted)",2,,solid (predicted),,,,,,,,,"1st: 955.2 kJ/mol, 2nd: 1891.1 kJ/mol, 3rd: 3029.6 kJ/mol, (more) (all estimated)",128,
111,Roentgenium,Rg,"roentgenium, Rg",silvery (predicted),111,"group 11, d-block",7,"unknown, but probably a transition metal",282,[Rn] 5f14 6d9 7s2 (predicted),2,,solid (predicted),,,,,,,,,"1st: 1022.7 kJ/mol, 2nd: 2074.4 kJ/mol, 3rd: 3077.9 kJ/mol, (more) (all estimated)",121,
112,Ununbium,Uub,"copernicium, Cn",,112,"group 12, d-block",7,"transition metal, alternatively considered a post-transition metal",285,[Rn] 5f14 6d10 7s2 (predicted),2,,gas (predicted),,,"357+112
?108 K (84+112
?108 °C, 183+202
?194 °F)",,,,,,"1st: 1154.9 kJ/mol, 2nd: 2170.0 kJ/mol, 3rd: 3164.7 kJ/mol, (more) (all estimated)",122,
113,Ununtrium,Uut,"ununtrium, Uut",,113,"group 13, p-block",7,"unknown, but probably a post-transition metal",286,[Rn] 5f14 6d10 7s2 7p1 (predicted),2,,solid (predicted),700,,1430,,,,,,"1st: 704.9 kJ/mol (predicted), 2nd: 2238.5 kJ/mol (predicted), 3rd: 3203.3 kJ/mol (predicted), (more)",172–180 pm (extrapolated),
114,Ununquadium,Uuq,"flerovium, Fl",,114,"group 14 (carbon group), p-block",7,post-transition metal,289,[Rn] 5f14 6d10 7s2 7p2 (predicted),2,,solid (predicted),340,,420,,,,,,"1st: 823.9 kJ/mol (predicted), 2nd: 1601.6 kJ/mol (predicted), 3rd: 3367.3 kJ/mol (predicted), (more)",171–177 pm (extrapolated),
115,Ununpentium,Uup,"ununpentium, Uup",,115,"group 15 (pnictogens), p-block",7,"unknown, but probably a post-transition metal",289,[Rn] 5f14 6d10 7s2 7p3 (predicted),2,,solid (predicted),670,,"~1400 K (~1100 °C, ~2000 °F) (predicted)",,,,,,"1st: 538.4 kJ/mol (predicted), 2nd: 1756.0 kJ/mol (predicted), 3rd: 2653.3 kJ/mol (predicted), (more)",156–158 pm (extrapolated),
116,Ununhexium,Uuh,"livermorium, Lv",,116,"group 16 (chalcogens), p-block",7,"unknown, but probably a post-transition metal",293,[Rn] 5f14 6d10 7s2 7p4 (predicted),2,,solid (predicted),"637–780 K (364–507 °C, 687–944 °F) (extrapolated)",,"1035–1135 K (762–862 °C, 1403–1583 °F) (extrapolated)",,,,,,"1st: 723.6 kJ/mol (predicted), 2nd: 1331.5 kJ/mol (predicted), 3rd: 2846.3 kJ/mol (predicted), (more)",162–166 pm (extrapolated),
117,Ununseptium,Uus,"ununseptium, Uus",semimetallic (predicted),117,"group 17, p-block",7,"unknown, but probably a post-transition metal",294,[Rn] 5f14 6d10 7s2 7p5 (predicted),2,,solid (predicted),"623–823 K (350–550 °C, 662–1022 °F) (predicted)",,883,,,,,,"1st: 742.9 kJ/mol (predicted), 2nd: 1785.0–1920.1 kJ/mol (extrapolated)",156–157 pm (extrapolated),
118,Ununoctium,Uuo,"ununoctium, Uuo",,118,"group 18, p-block",7,"unknown, but predicted to be a noble gas",294,[Rn] 5f14 6d10 7s2 7p6 (predicted),2,,solid (predicted),,,"350±30 K (80±30 °C, 170±50 °F) (extrapolated)",,,,,439,"1st: 839.4 kJ/mol (predicted), 2nd: 1563.1 kJ/mol (predicted)",157,
